中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,751 Mbps,96153 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,59 ms,304 Mbps,39014 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,49 ms,18 Mbps,2312 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,47 ms,460 Mbps,58982 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,11 ms,259 Mbps,33177 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,52 ms,428 Mbps,54886 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,33 ms,466 Mbps,59699 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,80 ms,309 Mbps,39628 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,51 ms,384 Mbps,49254 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,101 ms,168 Mbps,21606 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,49 Mbps,6273 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,102 ms,21 Mbps,2750 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,429 Mbps,54988 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,48 ms,468 Mbps,59904 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,80 ms,1 Mbps,213 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,113 ms,157 Mbps,20172 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,84 ms,48 Mbps,6169 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,38 ms,77 Mbps,9960 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,109 ms,188 Mbps,24064 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,185 Mbps,23756 kB/s
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,109 ms,141 Mbps,18124 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,110 ms,185 Mbps,23756 kB/s
192.9.138.241,443,192.9.138.241,413 Mbps,52940 kB/s
192.9.138.241,,,隧道,0 ms,null Mbps,null kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,106 ms,212 Mbps,27238 kB/s
152.67.142.211,443,2a0b:21c0:100a:1fa:0:acf:d082:5668,DE,Frankfurt,隧道,109 ms,110 Mbps,14131 kB/s
192.9.158.188,443,2a09:bac5:6444:28::4:22f,US,San Jose,隧道,67 ms,167 Mbps,21401 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,25 ms,36 Mbps,4702 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,97 ms,367 Mbps,47001 kB/s
141.147.116.180,443,98.98.156.22,DE,Frankfurt,隧道,109 ms,197 Mbps,25292 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,51 ms,107 Mbps,13721 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,119 ms,468 Mbps,59904 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,60 ms,477 Mbps,61132 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,163 ms,105 Mbps,13516 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,168 ms,102 Mbps,13107 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,109 ms,45 Mbps,5847 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,182 ms,96 Mbps,12288 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,172 Mbps,22118 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,119 ms,39 Mbps,5071 kB/s
158.101.220.201,443,2a0b:21c0:1007:c7:0:fce0:12d5:bc9f,DE,Frankfurt,隧道,125 ms,156 Mbps,19968 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,168 Mbps,21504 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,168 ms,186 Mbps,23859 kB/s
144.21.35.5,443,98.98.156.34,DE,Frankfurt,隧道,114 ms,160 Mbps,20480 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,52 ms,184 Mbps,23552 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,53 ms,432 Mbps,55398 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,164 ms,91 Mbps,11673 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,142 ms,133 Mbps,17100 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,164 ms,98 Mbps,12595 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,166 ms,100 Mbps,12902 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,232 ms,21 Mbps,2695 kB/s
141.148.238.161,443,2a0b:21c0:1007:1cb:0:484f:9522:b4ea,DE,Frankfurt,隧道,125 ms,132 Mbps,16896 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,191 ms,73 Mbps,9384 kB/s
141.147.107.52,443,2606:f240:f00:a683:0:9c1c:4276:fdc9,US,Frankfurt,隧道,106 ms,196 Mbps,25088 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,188 ms,80 Mbps,10342 kB/s
