中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,520 Mbps,66560 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,48 Mbps,6212 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,296 Mbps,37990 kB/s
35.230.79.26,443,34.19.58.219,US,Seattle,隧道,77 ms,284 Mbps,36352 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,69 ms,275 Mbps,35225 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,59 ms,682 Mbps,87347 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,32 ms,569 Mbps,72908 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,64 ms,45 Mbps,5852 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,252 Mbps,32256 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,129 ms,281 Mbps,36044 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,210 Mbps,26931 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,88 ms,39 Mbps,4994 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,585 Mbps,74956 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,50 Mbps,6405 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,74 ms,298 Mbps,38195 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,31 ms,70 Mbps,8964 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,72 ms,320 Mbps,41062 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,192 ms,226 Mbps,28979 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,95 ms,33 Mbps,4343 kB/s
35.197.23.75,443,34.19.58.219,US,Seattle,隧道,75 ms,285 Mbps,36556 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,106 ms,45 Mbps,5878 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,58 ms,7 Mbps,973 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,22 ms,55 Mbps,7048 kB/s
152.67.44.30,443,152.67.44.30,BR,S
